"City_District","City","YEAR","UsageAmount"
"광주광역시","전체(시 / 군 / 구)","2023","3220487552.65"
"광주광역시","전체(시 / 군 / 구)","2024","3325860541.04"
"광주광역시","전체(시 / 군 / 구)","2025","3507494078.27"
"광주광역시","전체(시 / 군 / 구)","2026","3713558418.77"
